tweet,label
"Michael Jackson may have had Thriller, but the Fat Boys had Freddy Krueger. http://t.co/H6hJbVNvLi",1
@tancredipalmeri Milan want him to but for a loan..but zenit just want to sell so we will see tomorrow what will happen italian.spurs i hope,1
"MMA: Conor McGregor recovers from a number of takedowns, stuns Chad Mendes with big left hand late 2nd round",1
@FutbolMo Mate besides inzaghi they all had managerial exp.. Carlo managed 3 teams before getting the milan job and pep manged 2nd team,1
Reminder: Go and see Ms. Murray first thing tomorrow morning in F206 if you still want to sign up for an interview!,1
Richie Hawtin - Tuesday 10/30 - Buffalo Town Ball Room - Don\u2019t miss it!,2
#usatoday First-place Mets may get their best hitter back: David Wright went 1-for-3 with ... http://t.co/6bDmlBN0b6 #sports #sportsnews,2
so who wants to watch the Steelers game with me on Sunday?,1
Not being funny but is it true that Saudi conceded that they got it wrong by declaring Eid on the Friday ? .....,1
The Most Awkward Holiday Musical Moments in Television History: From Lady Gaga singing with the Muppets to Mar... https://t.co/8D6aeoMnHf,1
Dustin Johnson wishes the tournament just got called by wind Saturday.,1
"Off to see Jurassic World tomorrow at the cinema, any good?? @RoseEllenDix @RoxeteraRibbons",2
My brother just told if Tom Brady was still suspended for 5 games he would still pick him up 1st round @StewyAllDay,1
Kasabian - Fast Fuse just came on shuffle on my iPod\u002c definitely showing my excitement for @russellhoward on Tuesday!,2
Excited about going to UCLA tomorrow!  Bus leaves at 4:30. Bring $ for food. Bring a sweatshirt.,2
@F3theFort F3 bro from @F3SouthWake is cooking in the FiddleNPig shindig BBQ peoples choice comp w/Holy Smoke team Sat in Ft Mill Google it,1
Wow I guessed it right that Justin was gonna be on Ellen on the 8th. I was gonna get tickets but I didn't know it was gonna be in NY,2
"""The story of the time Frank Gifford was an anonymous guest on our show, Monday morning on @TheDSCshow""",1
"""Lol. You can still watch, Nicki asked Miley what's good and called her a bitch (most interesting part of the show) https://t.co/tCIdK88LtI""",1
2nd Place again.  How could it happen?  #MTVSTARS Lady Gaga,0
@NiallOfficial hi Niall tomorrow is my birthday if u follow me it will be the best gift ever x3,2
Justin Biebers music is the 11th biblical plague,0
"""In other news, had a great Saturday on the town with @kyotas_papillon and my old uni friend at a David Bowie tribute orchestra :P""",2
Join the Kane's (Faculty in Residence) on Friday night for a Baylor Watch Party in the Clubhouse. Kickoff is @ 6:00pm http://t.co/DqA54piIlS,1
"why are people liking my valentine's day cards, it's august",1
@kTfurez are you going to maths tomorrow morningg?? xx,1
2.5 million people watched Miss USA on Reelz! this Sunday! Congrats to the true winner @ReelzChannel!,2
@bradfanningshow @KCTV5 Ya I know. I was frustrated &amp; had my 1st ever Twitter over reaction. It was more me just hate losing to White Sox.,0
ladies come throw that ass and niggas come throw that cash hypelounge tomorrow my birthday bash btw nitemoves foam party we still having it,2
"""I enjoyed kunle afolayan's latest film October 1st , it was brilliant just like Phone swap and Figurine .""",2
"""Big Brother starts tonight and X Factor on Saturday, wish I could emigrate or hibernate :-(""",0
@MaleehaManzoor @Majid_PSF77743  Super Duper Excited...I want Bilawal to take on Modi as well tomorrow,2
"""Support Local Business! This Sunday is National Ice Cream Day, why not escape the heat and celebrate with our... http://t.co/Ocqde6NHVW""",2
Choirs off next Friday or the one after that... Tryna get a handful of people to go out somewhere for dinner... Anyone interested??,1
When you realize there is no Teen Wolf tomorrow @MTVteenwolf http://t.co/dV1B4RxXtY,1
TGIF! Know what would make your Friday even better? Winning a year supply of New England Natural Bak http://t.co/KbZ45Wstoj,2
No nid to studee cos u chose pass fail!,0
Lady Gaga Is Living All Our Dreams With the Actual Pony She Got for Christmas: We may all joke that we want a ... https://t.co/dMQaQ4KK0I,2
wen\u002c me and xuan going parkway now. wanna join us?,1
Rewind Wednesday - Did you know that there were Nintendo and Super Nintendo games in Seinfeld's apartment? http://t.co/2z4dVizZQV,2
@rascalgas I suppose if you were buying a PS4 you can wait due to the lack of 1st party stuff.  Xbox on the other hand oh boy!,1
"""investigative video reveals Planned Parenthood may be committing infanticide, babies born alive, murdered, and sold."" ACLJ ""with child"" KJV",0
It's looking possible that Caitlyn Jenner may be charged with manslaughter. Serious question: does she go to a male or female prison??,0
"""Did someone say Christmas in July?! Go Set a Watchman comes out TODAY! Oh, and I'm busy for the rest of today. No reason. #booknerd""",2
@thegabyconnors I know when I met him the 3rd time at DIGI when we stage kissed I started crying when he hugged me &amp; he just kept saying ily,2
#GIF | Niall hitting Harry in the balls last night (and was bent over for quite a while after it!) (September 1) http://t.co/mQD6AzhSao,1
We will be walking in the Pride Parade on Saturday (parade starts at 1pm  at Foundry/Main St. Let us know if you... http://t.co/haUHTTlaEY,2
briana should give birth on friday it would be good for album promo,2
Sore left knee keeping Hamilton out: Rangers outfielder Josh Hamilton was not in the lineup in Tuesday's 3-2 l... http://t.co/GTOas0qxO2,1
I gotta assume no David Wright Saturday. Maybe he's off tomorrow cuz this game went late but doubt they hold him out first game back to Citi,1
I just hope they don't start asking Camila questions about dating Shawn on Sunday's because it starts all this unnecessary drama,0
NYFW With Abbey Dawn !!!!! This seriouslly may seem to make me personally Laughter!   http://t.co/jjU8kXzm,2
"""On Oct 29th, Vettel will drive the Infiniti Q50 Eau Rouge up &amp; down Congress Avenue in downtown Austin https://t.co/ylwsZCqEus via @EmBuxton""",1
"""@YaklDakl Yes,  I understand.      If you put 50 shares in your IRA you may find yourself very glad you did.   even 25 shares.  IMO""",2
@Chris__Shield @kizrees at least Dustin Johnson knows how to party which is why I'm guessing he falls apart by Sunday after his weekend out,0
Gym n the A.M. taking My Baby to the park Tomorrow then Studio!!!! Goodnight!! \u2019MAYBE\u2019,1
"""In case you were wondering, Caitlyn Jenner is responsible for the death of a woman in a car crash in February. How courageous is she now?""",0
"""okay so on the trip, wednesday I think, all 6 of us gathered in the youth hostel lounge and watched the first Twilight movie""",1
I have received Kit\u2019s email this morning. She said she can\u2019t contact the translator and will assign others,1
huh... i dun wanna go clubbing lei... i v broke this month... next month instead k?,0
Who wants to see the Naruto movie with me in October,1
"""@mite25 thanks for following me Maite,great to see you Saturday.""",2
@bloodbubble im going to Bali tomorrow for the weekend for office retreat,1
"'Angela Merkel' stars in lesbian magazine ad: Wednesday sees the launch of new magazine ""Straight,"" aimed at g... http://t.co/7hUcJ0F0qI",1
Kendrick said a whole bunch of nothing on that Black Friday something but you people say e be verse of the moment.,0
@nyannthierry  where should i meet you this saturday so that we watch chelsea vs everton,1
It may finally be the Lakers vs Heat #NBA finals matchup due to the Harden trade.,1
BRIEF-Clearwire says has enough funding to last it until end Q3 2013: Oct 25 (Reuters) - Clearwire Corp :  * Say... http://t.co/TEvQt5d5,2
I\u2019m okay wif dat\u002c as long u want me can liao...,2
you want to go jo house later? after eleven?,1
Murray or Allen starts the 2nd half? #TAMU,1
Bruh... I could be Tiger Woods on the course in some 6's  https://t.co/Xb4SfI2Tp6,2
BBC's Eggheads CJ de Mooi thinks he may have killed a mugger while living homeless as teen http://t.co/S6FGLhWPT3,1
Mar'Shayla didn't know any of the Sam Smith songs,1
"""Sunday Kombat ch 35! Best thing about Sunday's Shawn, looking forward to reading it.  https://t.co/MGKLQSimv9""",2
You never know when it's your time to return to Allah swt! There may not be a tomorrow! Don't hold off on entering the fold of Islam!,1
Is it me ... Or is the Amazon Prime Day ... Sucks . I have yet to find a great Better than Black Friday Deal! Damn I was excited too!,0
going to see young savage saturday w/ my girls. lol\u002c,2
"""Who is the best? 2NE1, with their first full concert on Dec 1 at the Singapore Indoor Stadium. Tickets go on sale Oct 19.""",2
LLLINKKK LLLINKKK i have not slept very much this week .,0
I'm gonna jump into @DamnItKasey's window playing the John Cena anthem tomorrow night. FYI,2
Playing Indianapolis THIS SATURDAY at the White Rabbit\u002c with Ko and Street Spirits - gotta go to this one! http://t.co/UHtyOrLJ,1
"""Katy Perry Jabs Taylor Swift: Katy Perry may have spilled a little more """"Bad Blood"""" in the Taylo... http://t.co/oUPukWPkvl #gossip #news""",1
"""Work hard, play hard. I'll see you busters at Riot Fest tomorrow #ImaStartARiot""",2
"""Centre on Religion and Geopolitics, a think tank linked to Tony Blair, says most Syrian rebels sympathize with ISIS. https://t.co/nRAX5Eu9ua""",2
Let's be honest if Floyd Mayweather gets starched on the 12th will it not be the greatest moment in sports history,1
Even the Pope thinks Cameron is a douche https://t.co/ACbeo0eGkj,0
@Negigurigleek no thanksgiving in Australia no Halloween no Fourth of July just Australia Day queens bday and Christmas,0
Anyways\u002c Good morning. Did you know about Khader Adnan\u2019s lecture in Ramallah tomorrow evening 7:00 PM in Ramallah? DO NOT MISS IT.,2
Well done H its good to see you score again. like to see Kane and Son team up Hint Hint! keep going https://t.co/slm8vaprCN,2
Got a spare ticket to Warners at the bay beer fest tomorrow. Let me know?,1
"""Interactive TV may be the next big thing, but what are your real life thoughts on Apple TV? #iwishitwerebetter...shhh http://t.co/rXIvyAwC""",2
If Robbie keane score 10 goals tonight i may like him.,1
@BenedictEvans France passed a law authorising intrusive surveillance in the aftermath of the Charlie Hebdo attack: https://t.co/M25IfQKaTZ,1
@The_GeorgeHotel I worked at Chesters\u002c & the George was our 2nd home\u002c we loved it. Ill certainly be back! :-),2
I ask off Tuesday's and Thursday's from work so I have a whole day to do homework. All I've done is eaten junk and watched Game of Thrones.,1
"@ShadouDoragon @HolyWhiteDragon @IronRockSaint --instead responded to Sting's statement. ""Hai, Sting-san! May the guild with more--",1
@ashhellaflush haha Black Dahlia was my favorite song by them too!! I miss you too. Are you still going to miss may I?? :),2
@EricaMLake at the bootleg the last weekend of September. Next Thursday what\u2019re you up to? White Arrows at the echo,1
Tiger Woods is the biggest tease of the entire weekend. In contention and blows it on Sunday. Next step play 72 holes instead of 54.,0
@FDCenter Open Registration Class for KPOP and HipHop Dance with @michellehadisaputra Every Thursday 6pm (hiphop)... http://t.co/Fu1I1mJoM3,1
@badbrad1987 ^ 2 kids have entered have by the 8th to enter Curtis is ready to pick,1
r u crazy? u canot cheat until like tat wat?!,0
Gucci plenty foreconscious unbashfulness february crown the double yours virus inward-bound relatedness so as ...,1
its good that u r willing 2 talk 2 us abt it. having gone thru a similar thing myself\u002c i try to remind myself now that things which are out of my control,2
@blakemeacake15 don\u2019t eat until friday between the hours of 5-10 and go to ricks cafe in randolph to get food\u002c ya dig?,1
"""@MikeAngelina Tanaka stinks. Plus, Dickey owns the Yankees, and David Price is on the mound Saturday.""",0
Please? please help me? Already put in so much effort & now u want 2 fang qi? I won\u2019t let u do so. Please,0
George Osborne likes to preach his twisted views in The Sun as he knows that vast majority reading it have no critical thinking capability,1
Thank GOD I'm spending tomorrow night with Tegan while all my rich friends have a crazy mental time in town without us,2
"""@SenorLARIATO I guess the world will end tomorrow, one of the signs of the apocalypse is John Cena losing...God he sucks so bad""",0
#WebsiteDesign #news Samsung plans to launch the Galaxy Note 5 and Galaxy S6 Edge Plus at its Unpacked event this Thursday. It is the...,2
It's Mean Girls appreciation day! It's October 3rd!  That's the day Aaron Samuels asked me what day it was...oh I... http://t.co/1c4FaXMkhX,2
"""Gogoi inspired by Gandhi, not Modi: hief minister Tarun Gogoi on Wednesday clarified that he was not trying to... http://t.co/agxNtCFxYr""",1
"""just realised... trip simmons skye may and coulson woulda made more girls than boys... then they got rid of jemma, brought fitz back and""",1
"""This female said Kirko Bangz will be her nigga one day .........C'MON SON, (FOH!) lmao""",1
Rib injury for Zlatan against Russia is a big blow if he misses Austria game Tuesday. A chance for new Sunderland striker Toivonen #SAFC,1
May Allah bless Erdogan with wisdom and capacity to move forward.  https://t.co/oYUrHH6fui,2
Sitting at home on a Saturday night watching Magic Mike XXL in bed with my dog and a pizza box wondering why I'm still single.,1
@NiallOfficial hey Niall its my 16th birthday tday.. so if u wouldnt mind jst favoriting this. it would mean a lot. Hope u have a great day.,2
Winter Jam is all set up! The artist line up and tour dates will be announced on October 30th! Who do you hope is going to be announced?,2
"""@ScReWstoN2883 This is What """"Floyd Mayweather"""" AKA """"Money May"""" Made When he BEAT MANNY PAQUIO.!!! LOL.... $207 MILLION..""",2
TOMORROW come see ALL IN! at LA\u2019s Comedy Central space. It\u2019s FREE but you need a reservation- call 323-960-5519 http://t.co/t9NgiMyt,1
Dick Van Dyke scheduled for the Winspear Opera House in Dallas on Tuesday May 29 about 7pm. Should be a good show.,2
"""@AbuJaulani @_iMuhammadBello: As woman,Islam prevents me frm raining abusive words.@abujaulani may Allah guides you to right path""",2
@Beth_Annie315 maybe if it was our musical but ehh Sam Smith is so much more amazing c'mon Bethany,2
Ronda Rousey gave serial woman-beater Floyd Mayweather a verbal TKO on the ESPYs red carpet Wednesday night. http://t.co/XErELkrodR,2
Can you come to lt34 to support save?,2
"""5SOS won, Taylor &amp; Nicki had a duet, Nicki looked like she wanted to beat the crap out of Miley. Waking up to this, Monday is good for once!""",2
When people come to your house on the 4th day of Eid with a SHADI KA CARD......,1
@YoginiJane while the met may not be perfect why don't you piss off to somewhere like Mexico City if you don't like it!!?? #tottenham,0
Liverpool\u002c CHAMPIONS of the Carling Cup last season\u002c now KICKED OUT in just the 3rd round of the competition 3-1 by SWANSEA at ANFIELD.,1
I remember in the 6th grade Dylan and I could sing every word to Kanye West's Heartless,2
"""Beer and Nirvana (the band, not the transcendent state). My recipe for getting through tomorrow.""",1
I'm rewatching Saturday night's #Superstar I still cannot @MatthewCasson79 didn't make it through. That version of Blaze Of Glory was epic!,2
Who's going to be 1st in line tomorrow for FREE hot dogs to celebrate National Hot Dog Day??  First 100 people get FREE Fenway dogs.,2
I place all ur points on e cultures module already.,1
Ok. I am reach office. see you tomorrow and cal you tonight.,2
"Pretty floater by Bentley over Charles.   She has 7, Bone 6..Sun 13.  Stokes with the layin for her first hoop",1
Who the hell moshes at Matt and Kim?? Next time watch out for my face\u002c mofos! My cheekbones better not be purple tomorrow. @alexanderCXV,0
"""\""""Even if I knew that tomorrow the world go to pieces\u002c I would still plant my apple tree.\"""" -- Martin Luther King""",1
I may end up just watching more NHK tonight. Feel too nauseous to do any actual gaming before bed. Have to get up at 5 AM tomorrow.,0
"""Today is National Hot Dog Day. I feel that since it is also two-slice Thursday, @VinnysPizza594 should've had a chili cheese hot dog pizza.""",2
"""Holy s**t, Navas will not make it in Milan https://t.co/BKUkzyrF12""",0
"""I'm calling it NOW, Monday, August 17th 2015, 9:45 PM  Brock Lesnar will make Undertaker tap out.""",1
Juventus' heatmap in the 1st and 2nd half. http://t.co/XK9u8uIKp9,1
Foes to city\u002c HISD\u002c HCC bond measures emerge. http://t.co/wyFtDKhI The antis make 1st appearance just 3 wks b4 election day.,1
"""We may be an ordinary girls ,But our love to our Zayn is bigger thank you think,He saved most of us and we're thankful to him to have him.""",2
Delicious grilled cheese with ham cooked in Sun Dried Tomato\u002c Parmesan & Garlic oil from Olive That in Montclair http://t.co/Wf0pNsHQ,2
Aaron Samuels in the house... Wearing pink and it ain't even Wednesday! #MeanGirls #DWTS,1
Pacers fans are going to have fun on Saturday...,2
"""#idf15 is to techies what religious retreats are to Christians. Sure it's fun and sure you feel a bunch of stuff, but there's work tomorrow.""",2
"""Welp, going to need a PS4 by March. https://t.co/77qUiNsrBb""",1
Did anyone see Rachel Khoo making Oeufs en Cocotte a few weekends ago on Saturday Kitchen? Here\u2019s my take on it:... http://t.co/BUH81qOt,1
Imagine being De Gea going to sleep then waking up tomorrow ready to become a Real Madrid player,1
"@tauriqmoosa Nope. Tomorrow.  Wait... tomorrow's also when Sony breaks out the next bundle of PS+ freebies.  Oh, what a LOVELY day!",2
yeah... was thinking of going out lor... it\u2019s been a long time since we last went out rite :),2
Cool filter called the blinding sun &amp; iPhone 5c... Lol @ Gediminas' Tower https://t.co/8aAtHasK7j,2
Zanjeer 1st Schedule completed & Ramcharan is happy with the output,2
I on the other hand can not stand the '' ____ of Love '' shows .,0
Selling 1 extra ticket to Zac Brown Band in Toronto tomorrow!!!!! Mssg me if you want it :),2
Jerm &amp; Curtis record a scene from the women's march for Zuma for City Press. https://t.co/g9ipe50jKu,1
@MMFlint you got a sweet shout out at a Jon huntsman jr speech in St. Louis Monday night. Well done!,2
"""Was challenged to """"name the wrestler"""" on quizup and I read it as """"weather"""". was very confuse when the 1st quest included a pic of John Cena""",1
"""@_m4verick @dream_chaser_10 seen a photos of them and the caption said """"Kendrick and Sherane in the 9th grade"""" and they were on some bed""",1
I only did once\u002c e proj we did together\u002c so not v gd at it also. Borrow some books or search online 4 help...,0
@HeatherSolos @gameofkittens Amazon Prime should have it here by Wednesday. Squee!,2
Me and my 2nd Dad before his tip to the Upper Room.. Miss you Uncle Bolee #TBT http://t.co/dGIpYEWq,2
@solispaola12 Hey can you plz help try to get to Justin biebers concert on december 3rd in la !,1
@HedeParag So the Same Technical Point was not seen When Modi was Opening his Big Mouth in Rallies ? Ahhhh may be he seen names of his owner,0
Why Kanye West would be the best president in US history (seriously) http://t.co/Ffd9slADAw via @instapaper,2
"""You're going to ban straight to DVD Disney movies? \""""""""Aladdin 4: Jafar May Need Glasses\"""""""" 1 or 2? Umm... Hahahah #FamilyGuy""",2
This Saturday night @XciteWrestling Binghamton NY at the Legion is going to be pure insanity #Bingofansrock,2
"Quite the home debut for #NotreDame QB Malik Zaire, he just threw his 3rd TD of the day to Chris Brown. ND up 38-3 on #Texas #fox28 #NDvsTEX",2
Sweeney Todd was incredible! Shame it finishes on Saturday! But Imelda staunton was brilliant!!!! As was Michel Ball <3 http://t.co/i02jfvkL,2
#WWE Monday Night #RAW results - Jon Stewart on why he attacked John Cena http://t.co/tIymPn6EGj http://t.co/6WxTS87Ifu,1
"""It may not be the right fit for everyone, but PrEP therapy can prevent the spread of HIV, read here: http://t.co/fOpwPX3RvZ #HIVPrevention""",2
Someone come see Amy Schumer with me in June,1
Tomorrow is one of our favorite days of the year: National Hot Dog Day! Stop in for our yearly $1.50 hot dog to... http://t.co/aFkkGM0FfG,2
"""At this point, Motorola and Verizon may just be allowing the DROID Bionic, one of the most hyped phones in rec... http://t.co/3iTXZuN""",1
"""@ZeusBarker true, but she was flapping her gums, I'm glad Nicki sat her down. Someone needed to show her what she said was foul.""",1
Next : saving up for the newly-cheaper PS3 .,2
Still time to ask Saturday Kitchen legend James Martin a question\u002c he\u2019s just given us the lowdown on Strictly http://t.co/pdsQqFb0,1
Curtis Painter...we have a chance again! Can't believe Kerry Collins didn't throw us a pick-six tonight,2
So @onedirection will be in the @CapitalOfficial London studio tomorrow morning. Hope no one mentions Harry\u2019s Brit Award error,1
I might act like tomorrow Valentine day and pamper my gf maybe then she\u2019ll feel better,2
More headlining festival dates for Rammstein\u002c this time it\u2019s Poland\u2019s Impact Festival that takes place on the 4th... http://t.co/7GvQvScn,1
Katy Perry was all smiles&amp;#160;when she&amp;#160;headed out for a Broadway show Wednesday night in New York City.&amp;#160; The singer wore a,2
Threw out 1st pitch tonight and David Wright was so nice to sign it #StLucieMets #TraditionField http://t.co/09YJrEFna5,2
I'm so excited for Dave Grohl and the Foo Fighters to be in the hood Saturday http://t.co/zkwHZ0X9Uq,2
Mom this case may be one of the most strongest cases possible but it feels like holding and using a fucking NOKIA! http://t.co/zWRKQH4Vlr,0
TGIF - It's not a REAL Friday until you dribble coffee down the front of your shirt at work - at least it's a 3 day wknd!,1
David Wright is back and leading off in the 2nd inning! http://t.co/0xuLqeRQzn,1
Mee& my grandpa are going to the rita game tomorrow #CutiePies,2
What these white people at school tomorrow have SO MUCH to say about Nicki!!!!! #ImReady,1
"""John Kasich is going to be the media darling tomorrow with his gay marriage/Supreme Court comment. Well done, sir. #GOPDebate""",2
At the heart of the Boko Haram is the huge issue of poverty. These people have no reason to want to live till tomorrow. -#Oshiomhole #Edo,0
"""Kamala, who defended Hulk Hogan following the racial tirade scandal that broke out on Friday, discussed the... http://t.co/9cJx9NWO5o""",0
Beautiful Bouquet with our Beautiful Bentley #bride #groom #wedding #wednesday #weddingcars #love   #Repost... http://t.co/uN7Iwoeb2d,2
the only reason I know who John Cena is is because my bully in 3rd grade wrote his name in sharpie all over her backpack,1
who are you tomorrow #VideoMTV2015 Fifth Harmony #MTVStars Lady Gaga,1
The big showdown Nov 10 :-) Are you guys coming to Vancouver for the Ducks game? @callmemochelle,2
In three hours time our boys will be taking on AmaZulu FC at Orlando Stadium in the 8th game of the #AbsaPremiership #OnceAlways #UpTheBucs,2
@TheCab  Gonna be on a bus for hours tomorrow...think I'll get The Cab pumping the whole way Xx,2
Wine update: I may have busted my ass attempting the Tom Cruise socks slide across the kitchen. Asshole gravity. #MistakesWereMade,0
hi\u002c u watched infernal affairs 3\u002c want to watch tog nxt wk? can ask others also,1
Love him or hate him but so excited about getting to meet Ted Nugent tomorrow night :),2
"""It may be a giant leap for cable net Reelz, but the Miss USA pageant took a few steps backward on Sunday night.... http://t.co/gHHIvwAsM9""",1
@ItIsWhatItIs__ yea I went to the one at MetLife on August 5th #OTRAMETLIFE,1
@gianicos @mikejefferiesl4 That\u2019s like blaming Rafa for the season we finished 7th while ignoring the negative impact of Cecil and H&G!,0
"""@reza_rahman What did you say number 235? You may be becoming a liability and eventually a statistic. Do not taunt """"Happy Big Brother!""""""",1
This weekend is a #GoldenOpportunity to get the Lexus you've been dreaming about all summer! Come see us! We're open today and tomorrow!,2
@pokeefe1 totally agree. After Levy's balls up with getting Berahino we may as well have used Ade as back up to Kane,1
@RichardJonatha call Hafiz saeed sir he may help u out. Maybe Pope can b handy . Try it.,2
"""Haha I love this post from Lady Gaga. She may be a huge megastar, but shes just like the rest of us! #MTVStars https://t.co/0dyLJRpSMx""",2
Lucky i didnt go to the spurs game last night,2
"@JuliaMcAnallen Free Webinar Friday 8/28: The Consulting Lifestyle with Charles M, Associate Partner - IBM. Sign up: http://t.co/NOIKDnHsdm",2
"""For those not at Cedar Point on the 27th, be at #HallowFreakend ;) @ American Legion (31775 Grandriver Ave Farmington Hills 48336) x2""",1
"""Carly Fiorina is telling people in NH they should be """"incenting"""" teachers. It may be a word, but she still sounds like an idiot""",0
"""12 Ways June Squibb Is the New Jennifer Lawrence - http://t,co/TjdG7Q8iZI""",1
"""Total rainfall @ BDR since September 1 is 7.64\"""""""" which is more than double the normal (3.72\"""""""") through the same period.""",1
SO excited to see an early release of Paper Towns tomorrow and also Inside Out! Be a great day @cineworld #UnlimitedCard,2
I will hit up Saks 5th and buy one item\u002c Idc how much it is. I deserve it ^_^,2
"""@mrvnz_ OMG NARUTO! Im hoping FMA, has to be. Oh myyyyyy im so excited! Mine's been in aus since the wednesday, hope i get it today!""",2
So excited to Be in Philly til the 12th. I miss so much,2
Happy 15th birthday  to the greatest mobile phone of all time! Nokia 3310,2
Megadeth - Into the Lungs of Hell / Set the World Afire - Vinyl https://t.co/KD5JrvZSYJ   Bike So Far dans mon Ipod en route pour Charlevoix,1
Asap....come to my house tomorrow and entertain me instead of everyone else going to the concert.,1
"'Knock Knock: Live:' David Beckham Surprises Family In Need: Tuesday marked the debut of ""Knock Knock:... http://t.co/YkWLAjwfIE #family",2
"""Rahul Gandhi held Indian citizenship from day one: Congress: New Delhi, Nov 18: Dismissing BJP leader Subraman... https://t.co/dieEier8yP""",1
5th Round;  Send me a picture of your favorite artist!!  First to 5 points gets a DM with Niall!!  #OTRAMontreal,1
Rivers to Gates\u002c for only the 3rd time this season. Keep it up Chiefs\u002c fantasy teams need you,2
